Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	1.552	5.286142	18.0	-11.0	20.0	-0.3184384	2.6337123	7.2250233	-2.6277328	160000	0.04586349	5.120828	0.0	-0.19822645	1.32515	-4.199743e-08	49.392327070236206
32	2.888	5.093079	19.0	-10.0	20.0	-0.57617235	2.3866272	6.5569105	-2.7470412	165000	0.047672126	4.995603	0.0	-0.14925003	1.3295856	-2.7894973e-09	50.9037721157074
33	2.18	4.8393803	18.0	-10.0	20.0	-0.30231747	2.5818636	7.236322	-2.775069	170000	0.032138553	4.4123588	0.0	-0.09783983	1.3332787	-1.0740757e-08	52.50380301475525
34	2.748	4.832028	17.0	-9.0	20.0	-0.49473125	2.4579597	6.955173	-2.683495	175000	0.04531876	4.7240367	0.0	-0.096698284	1.331148	-7.987022e-10	53.99131727218628
35	3.056	5.1049848	17.0	-12.0	20.0	-0.1900496	2.6078873	7.416774	-2.5148559	180000	0.037148256	4.945125	0.0	-0.019366741	1.3357464	2.9802322e-10	55.49857211112976
36	3.08	5.223179	19.0	-12.0	20.0	-0.015374688	2.5860128	7.4568405	-2.5387654	185000	0.026056012	5.7106214	0.0	-0.17284966	1.3406534	1.6665458e-08	56.99868416786194
37	3.024	5.4368577	18.0	-11.0	20.0	-0.09529624	2.3851147	7.1485367	-2.3169923	190000	0.029996933	5.1010895	0.0	-0.103991985	1.340066	5.9247016e-09	58.48157095909119
38	3.32	5.119531	18.0	-11.0	20.0	-0.16719162	2.4415317	7.43548	-2.398945	195000	0.037103076	4.925701	0.0	-0.08164978	1.341729	1.07288365e-08	59.94614601135254
39	3.592	5.5210085	19.0	-10.0	20.0	-0.040806796	2.5781262	7.6985145	-2.3854806	200000	0.03853298	5.362746	0.0	-0.04218483	1.3422469	-9.536744e-10	61.429986000061035
40	3.192	5.359397	19.0	-11.0	20.0	-0.018434985	2.6435313	7.975674	-2.4354024	205000	0.036031373	4.8063226	0.0	-0.052386284	1.3431271	2.9444696e-09	62.938398122787476
41	3.236	5.194257	17.0	-10.0	20.0	-0.102631	2.5888052	7.6742682	-2.5661283	210000	0.025549611	4.929974	0.0	-0.06084776	1.3450853	2.1350385e-08	64.40302300453186
42	3.732	5.303223	19.0	-10.0	20.0	-0.16771413	2.559158	7.7989125	-2.433238	215000	0.031537503	4.8583627	0.0	-0.06933594	1.3467052	1.680851e-09	65.9115092754364
43	3.5	5.654202	19.0	-11.0	20.0	0.068805926	2.571565	8.117081	-2.3249996	220000	0.026710127	5.322487	0.0	-0.023989677	1.3476738	1.4305115e-09	67.39071607589722
44	3.052	5.1978164	19.0	-11.0	20.0	-0.038422544	2.501625	8.029592	-2.3847456	225000	0.023244575	4.663911	0.0	-0.04996538	1.3491743	-2.3686885e-08	68.85212516784668
45	3.132	5.3571053	18.0	-12.0	20.0	-0.048458613	2.4690907	7.84948	-2.3572924	230000	0.016810292	4.715713	0.0	-0.02301693	1.3504021	4.9948694e-09	70.32807612419128
46	3.484	4.9753137	17.0	-14.0	20.0	-0.027581055	2.4895785	7.930668	-2.2921085	235000	0.024047831	4.996677	0.0	-0.102600574	1.3504769	2.3019314e-08	71.80508303642273
47	3.648	5.5081844	18.0	-14.0	20.0	-0.03587642	2.5216393	7.7946935	-2.2240188	240000	0.020412222	4.961772	0.0	-0.03745699	1.3537242	1.0669232e-08	73.27479124069214
48	4.516	5.66831	20.0	-13.0	20.0	0.16698764	2.632995	8.141817	-2.4078937	245000	0.011445253	5.499219	0.0	-0.060884476	1.354835	-1.4686584e-08	74.74515914916992
